title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console - Black (Renewed),,4.3 out of 5 stars,"1,411 ratings",Not Available
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,234 ratings",Not Available
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console,,4.3 out of 5 stars,"1,268 ratings",Not Available
Among Us: Crewmate Edition (PS4) - PlayStation 4,,4.4 out of 5 stars,306 ratings,Only 1 left in stock - order soon
Spongebob Squarepants: Battle for Bikini Bottom - Rehydrated - PlayStation 4,,4.7 out of 5 stars,"3,524 ratings",In Stock
Hot Wheels Unleashed - PlayStation 4,,4.6 out of 5 stars,"1,162 ratings",In Stock
Prodeus - PlayStation 4,,3.8 out of 5 stars,11 ratings,In Stock
The Texas Chain Saw Massacre - PlayStation 4,,4.0 out of 5 stars,35 ratings,In Stock
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,326 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,586 ratings",Not Available
Sony Playstation 4 Slim(CUH-2215B) 1TB Core with Starter Pack Bundle-(Jet Black),,3.5 out of 5 stars,29 ratings,Only 2 left in stock - order soon
You Suck at Parking - PlayStation 4,,Previous page of related Sponsored Products,,Only 17 left in stock (more on the way)
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,542 ratings",
Five Nights at Freddy's: The Core Collection (PS4) - PlayStation 4,,4.6 out of 5 stars,"1,524 ratings",Only 1 left in stock - order soon
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.6 out of 5 stars,17 ratings,Not Available
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,,4.8 out of 5 stars,"6,424 ratings",Only 2 left in stock - order soon
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,333 ratings",Not Available
"Turtle Beach Stealth Pro Multiplatform Wireless Noise-Cancelling Gaming Headset for Xbox Series X|S, Xbox One, PS5, PS4, PC, Mac, Switch, & Mobile – 50mm Speakers, Bluetooth, Dual Batteries – Black",,4.1 out of 5 stars,241 ratings,In Stock
Sonic Superstars - PlayStation 4,,Previous page of related Sponsored Products,,In Stock
F1 Manager 2023 - PlayStation 4,,5.0 out of 5 stars,1 rating,In Stock
